"Taxon";"Occurrence.taxa";"Prevalence";"Prevalence.NoDisp";"Taxonomic.level";"Missing.values"
"Metanoearhaetica";"Occurrence.Metanoearhaetica";0.0326704545454545;0.511111111111111;"species";0
"Rhithrogenaputhzi";"Occurrence.Rhithrogenaputhzi";0;0;"species";0
"Epeorusalpicola";"Occurrence.Epeorusalpicola";0;0;"species";0
"Protonemuranimborum";"Occurrence.Protonemuranimborum";0;0;"species";0
"Chloroperlasusemicheli";"Occurrence.Chloroperlasusemicheli";0.0759943181818182;0.535;"species";0
"Leuctrahippopus";"Occurrence.Leuctrahippopus";0.0369318181818182;0.577777777777778;"species";0
"Hydropsychetenuis";"Occurrence.Hydropsychetenuis";0.0198863636363636;0.128440366972477;"species";0
"Amphinemurasulcicollis";"Occurrence.Amphinemurasulcicollis";0.00710227272727273;0.111111111111111;"species";0
"Cryptothrixnebulicola";"Occurrence.Cryptothrixnebulicola";0.00284090909090909;0.0168067226890756;"species";0
"Isoperlarivulorum";"Occurrence.Isoperlarivulorum";0.0220170454545455;0.164021164021164;"species";0
"Rhyacophilapraemorsa";"Occurrence.Rhyacophilapraemorsa";0;0;"species";0
"Rhyacophilapubescens";"Occurrence.Rhyacophilapubescens";0;0;"species";0
"Cordulegastridae";"Occurrence.Cordulegastridae";0.276988636363636;0.701438848920863;"family";0
"Electrogenaujhelyii";"Occurrence.Electrogenaujhelyii";0.00142045454545455;0.00626959247648903;"species";0
"Siphonoperlatorrentium";"Occurrence.Siphonoperlatorrentium";0;0;"species";0
"Sialidae";"Occurrence.Sialidae";0;0;"family";0
"Nemouramarginata";"Occurrence.Nemouramarginata";0.0298295454545455;0.13166144200627;"species";0
"Rhithrogenaloyolaea";"Occurrence.Rhithrogenaloyolaea";0;0;"species";0
"Protonemurabrevistyla";"Occurrence.Protonemurabrevistyla";0.0426136363636364;0.545454545454545;"species";0
"Rhyacophilaintermedia";"Occurrence.Rhyacophilaintermedia";0;0;"species";0
"Rhithrogenaalpestris";"Occurrence.Rhithrogenaalpestris";0;0;"species";0
"Ecdyonuruspicteti";"Occurrence.Ecdyonuruspicteti";0.0362215909090909;0.836065573770492;"species";0
"Drususmelanchaetes";"Occurrence.Drususmelanchaetes";0.0355113636363636;0.454545454545455;"species";0
"Rhithrogenadegrangei";"Occurrence.Rhithrogenadegrangei";0.000710227272727273;0.0163934426229508;"species";0
"Leuctraschmidi";"Occurrence.Leuctraschmidi";0.0142045454545455;0.327868852459016;"species";0
"Dictyogenusalpinus";"Occurrence.Dictyogenusalpinus";0.0433238636363636;1;"species";0
"Drususmuelleri";"Occurrence.Drususmuelleri";0;0;"species";0
"Rhyacophilaglareosa";"Occurrence.Rhyacophilaglareosa";0;0;"species";0
"Drususnigrescens";"Occurrence.Drususnigrescens";0.0241477272727273;0.557377049180328;"species";0
"Hydropsycheinstabilis";"Occurrence.Hydropsycheinstabilis";0.0326704545454545;0.194092827004219;"species";0
"Melampophylaxmelampus";"Occurrence.Melampophylaxmelampus";0.0234375;0.139240506329114;"species";0
"Tinodesunicolor";"Occurrence.Tinodesunicolor";0.0078125;0.0464135021097046;"species";0
"Potamopyrgusantipodarum";"Occurrence.Potamopyrgusantipodarum";0.0710227272727273;0.421940928270042;"species";0
"Rhyacophilahirticornis";"Occurrence.Rhyacophilahirticornis";0;0;"species";0
"Thaumaleidae";"Occurrence.Thaumaleidae";0;0;"family";0
"Rhithrogenagrischuna";"Occurrence.Rhithrogenagrischuna";0;0;"species";0
"Rhyacophilarectispina";"Occurrence.Rhyacophilarectispina";0;0;"species";0
"Drususalpinus";"Occurrence.Drususalpinus";0.0213068181818182;0.612244897959184;"species";0
"Isoperlacarbonaria";"Occurrence.Isoperlacarbonaria";0;0;"species";0
"Catagapetusnigrans";"Occurrence.Catagapetusnigrans";0;0;"species";0
"Leuctraarmata";"Occurrence.Leuctraarmata";0.0142045454545455;0.408163265306122;"species";0
