"ReachID","X","Y","MonitoringProgram","Watershed","tempmaxC","currentms","orgmicropollTU","saprowqclass","Temp_average","shade","C_P","C_N","Lit_Inp","Chironomidae","Simuliidae","Limoniidae","Baetisrhodani","Baetisalpinus","Empididae","Ceratopogonidae","Elmidae","Nemouramortoni","Baetismuticus","Drususdiscolor","Protonemuralateralis","Athericidae","Gammaridae","Rhyacophilatristis","Planariidae","Leuctrabraueri","Nemouraminima","Hydraenidae","Ecdyonurushelveticus","Sericostoma","Habroleptoidesconfusa","Scirtidae","Brachypterarisi","Sphaeriidae","Blephariceridae","Odontocerumalbicorne","Leuctranigra","Tipulidae","Drususannulatus","Dixidae","Drususbiguttatus","Metanoeaflavipennis","Ecdyonurusvenosus","Habrophlebialauta","Stratiomyidae","Potamophylaxcingulatus","Protonemuraintricata","Centroptilumluteolum","Hydropsychesiltalai","Epeorusassimilis","Baetislutheri","Rhithrogenapicteti","Dugesiidae","Paraleptophlebiasubmarginata","Dytiscidae","Lymnaeidae","Habroleptoidesauberti","Isoperlagrammatica","Capnioneuranemuroides","Melampophylaxmucoreus","Ecclisopteryxmadida","Nemouraflexuosa","Chaetopteryxvillosa","Ephemeradanica","Erpobdellidae","Allogamusauricollis","Serratellaignita","Hydroptila","Glossiphoniidae","Ecdyonurustorrentis","Rhithrogenasemicolorata","Gyrinidae","Caenismacrura","Torleyamajor","Psychomyiapusilla","Hydropsycheincognita","Protonemurameyeri","Baetisvardarensis","Caenisluctuosa","Hydropsycheangustipennis","Gomphidae","Besdolusimhoffi","Cheumatopsychelepida","Micrasemasetiferum","Nemouraavicularis","Ithytrichia","Leuctramajor","Philopotamusludificatus","Metanoearhaetica","Rhithrogenaputhzi","Epeorusalpicola","Protonemuranimborum","Chloroperlasusemicheli","Leuctrahippopus","Hydropsychetenuis","Amphinemurasulcicollis","Cryptothrixnebulicola","Isoperlarivulorum","Rhyacophilapraemorsa","Rhyacophilapubescens","Cordulegastridae","Electrogenaujhelyii","Siphonoperlatorrentium","Sialidae","Nemouramarginata","Rhithrogenaloyolaea","Protonemurabrevistyla","Rhyacophilaintermedia","Rhithrogenaalpestris","Ecdyonuruspicteti","Drususmelanchaetes","Rhithrogenadegrangei","Leuctraschmidi","Dictyogenusalpinus","Drususmuelleri","Rhyacophilaglareosa","Drususnigrescens","Hydropsycheinstabilis","Melampophylaxmelampus","Tinodesunicolor","Potamopyrgusantipodarum","Rhyacophilahirticornis","Thaumaleidae","Rhithrogenagrischuna","Rhyacophilarectispina","Drususalpinus","Isoperlacarbonaria","Catagapetusnigrans","Leuctraarmata"
"CH058BEAa",613807,188906,"NAWA TREND","Aare",16.9814418467098,0.867960985761533,-1.09952748290235,2,10.0392996873912,0.5961288,0.0357356953043729,3.64002691536349,463.726982317591,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH111AGAa",637194,238503,"NAWA TREND","Aare",21.6861425227715,0.852014511873733,-0.998367376091226,2,11.8763828624053,0.5941938,0.0407954243284096,4.07917939397387,427.413990151757,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH094BEAa",584763,220291,"NAWA TREND","Aare",18.8774803332335,0.444851653232305,-1.4388329165481,1,10.3451122939498,0.401286,0.0132172856580857,1.50826931061726,321.183008482343,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH126VDAa",545390,180900,"NAWA TREND","Aare",20.07679556836,0.482264413646152,-0.726249099170019,2,10.9078452379391,0.6,0.0488861521176661,4.24099802802775,546.691027078642,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH039AGAa",648700,247570,"NAWA TREND","Aare",21.8358948843056,0.704360156609512,-0.769628459343638,2,11.9177277798494,0.5943036,0.0431357589674417,4.54189108200324,445.156471274323,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH079AGAa",655159,251068,"NAWA TREND","Aare",21.489267751442,0.896306411696954,-0.599588075691437,2,11.7038723729557,0.6,0.0438233403848742,4.39448073547559,599.864193830761,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CH119NEAa",559534,207117,"NAWA TREND","Aare",18.1576883681303,1.2187475564524,-1.18831600239639,1,9.90215189952646,0.3826926,0.0289528866224391,2.84112303541153,326.343569795546,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"536195Aa",536000,195388,"BDM","Aare",11.6673275876458,0.0402435903535758,-0.523292925968859,1,6.77779709645984,0.6,0.014373208134232,1.44431640025928,526.723443963929,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"572179Aa",572000,179156,"BDM","Aare",18.7634125657828,0.611075971661563,-1.23970158817606,2,11.1034859535007,0.361905,0.0455431205908524,4.3701744662808,273.77949910566,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"578171Aa",578000,171052,"BDM","Aare",10.6188118627027,0.444738326454023,-4,1,5.40209394375015,0.5864514,0.00387280616364353,0.609510682849604,556.754677341728,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"530171Aa",530000,171113,"BDM","Aare",16.2347577584,0.460389903868886,-0.810141071412994,2,9.442692656469,0.6,0.0434036286745626,3.64891428549861,539.150079034396,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"590203Aa",590000,203996,"BDM","Aare",14.5681902865973,0.646446957961364,-0.924756354969043,2,8.03022557025364,0.6,0.0415208020909464,3.59504559491778,614.506615588093,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"596179Aa",596000,179309,"BDM","Aare",10.6093665215499,0.410543733928345,-4,1,5.34189258833193,0.5961288,0.00412843809865397,0.636869972425567,19.8162868450723,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"572163Aa",572852,163000,"BDM","Aare",14.3613511031985,0.312801874632746,-4,1,7.32128946901796,0.5594856,0.00652044073034399,0.892876690303752,566.934347203461,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"566171Aa",566355,172000,"BDM","Aare",14.0623660676319,0.571929968126324,-2.02904016959029,2,7.20011841811688,0.5498394,0.0297295551380771,2.90759643221844,518.924516034719,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"578179Aa",579000,179644,"Other programs","Aare",14.0784777238304,0.329487450149121,-1.30324982712217,2,7.10491631033195,0.6,0.0512045571335419,4.60269160972829,588.98558263372,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"590219Aa",590000,219307,"BDM","Aare",19.6174428279166,0.193335309280141,-0.710095870501459,2,10.5063912662783,0.437061,0.0547273290829021,4.52457268797222,447.732483669368,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"584171Aa",584000,171688,"BDM","Aare",7.14610120214339,0.408485780415181,-4,1,3.22108382650525,0.5221518,0.00386174410658605,0.608326754001555,58.3713130470189,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
